Date,Open,High,Low,Close,Volume,Adj Close
2014-10-22,74.480003,74.989998,74.160004,74.599998,6469600,36.55444
2014-10-23,75.150002,75.510002,74.760002,74.839996,6837800,36.672041
2014-10-24,74.900002,75.910004,74.349998,75.809998,7358400,37.147347
2014-10-27,76.010002,76.379997,75.82,75.970001,5783400,37.22575
2014-10-28,76.339996,77.07,75.879997,77.050003,8151000,37.754957
2014-10-29,77.099998,77.669998,76.220001,76.540001,8795000,37.505053
2014-10-30,76.18,77.449997,76.110001,77.32,13389000,37.887257
2014-10-31,75.25,76.739998,74.919998,75.559998,35890000,37.024845
2014-11-03,75.970001,76.269997,75.470001,76.099998,10607000,37.289449
2014-11-04,75.610001,76.940002,75.5,76.709999,10420000,37.588353
2014-11-05,77.010002,77.389999,76.589996,76.660004,7403400,37.563855
2014-11-06,76.970001,77.550003,76.660004,77.449997,6167200,37.950956
2014-11-07,77.639999,78.089996,77.209999,77.790001,8249000,38.11756
2014-11-10,77.639999,77.900002,77.169998,77.650002,6555400,38.206125
2014-11-11,77.830002,78.199997,77.25,77.730003,5198200,38.245489
2014-11-12,77.410004,78.010002,77.269997,77.849998,5312200,38.30453
2014-11-13,78.190002,78.480003,77.410004,77.889999,6842200,38.324211
2014-11-14,78.080002,78.300003,77.730003,78.120003,6039200,38.43738
2014-11-17,77.940002,78.470001,77.650002,77.830002,5899000,38.294691
2014-11-18,77.629997,78.0,77.32,77.57,5755600,38.166762
2014-11-19,77.440002,78.080002,77.400002,77.82,5231200,38.289769
2014-11-20,77.660004,78.639999,77.650002,78.199997,6287000,38.476739
2014-11-21,79.129997,79.919998,78.769997,79.760002,14027800,39.244309
2014-11-24,79.900002,80.82,79.709999,80.519997,9426200,39.618249
2014-11-25,80.559998,80.919998,80.050003,80.209999,8118400,39.465721
2014-11-26,80.120003,80.309998,79.400002,79.699997,6196800,39.214784
2014-11-28,80.43,81.639999,80.410004,81.209999,6766600,39.957751
2014-12-01,81.0,81.5,80.620003,80.849998,8627400,39.78062
2014-12-02,80.690002,80.849998,80.089996,80.370003,7656400,39.544447
2014-12-03,80.419998,80.75,80.07,80.470001,11201400,39.593649
2014-12-04,80.599998,82.300003,80.389999,81.309998,13999000,40.006953
2014-12-05,82.5,83.919998,82.43,83.57,14788200,41.118942
2014-12-08,84.199997,84.199997,83.099998,83.800003,11770600,41.23211
2014-12-09,83.07,83.290001,82.199997,83.029999,8725600,40.853245
2014-12-10,82.900002,84.040001,82.550003,82.660004,10096400,40.671196
2014-12-11,82.900002,84.019997,82.660004,83.120003,10046000,40.89753
2014-12-12,82.739998,83.970001,82.57,83.25,9164200,40.961492
2014-12-15,82.269997,82.5,80.690002,80.889999,16287000,39.800301
2014-12-16,80.489998,81.089996,79.110001,79.129997,13981800,38.934327
2014-12-17,79.129997,80.589996,78.440002,80.440002,10161600,39.578889
2014-12-18,81.550003,81.639999,79.260002,80.029999,17583000,39.377155
2014-12-19,80.199997,80.290001,79.410004,79.440002,17444200,39.086859
2014-12-22,79.849998,80.550003,79.769997,80.540001,7583800,39.628091
2014-12-23,81.5,82.050003,81.129997,81.43,8147800,40.065998
2014-12-24,81.470001,81.860001,81.18,81.269997,2601800,39.987271
2014-12-26,81.43,82.400002,81.379997,81.830002,4550400,40.26281
2014-12-29,81.660004,82.550003,81.5,82.379997,4796600,40.533425
2014-12-30,82.07,82.879997,81.790001,81.790001,5253400,40.243129
2014-12-31,82.190002,83.330002,82.0,82.050003,7625400,40.371058
